Timestamp,MÊS,ITEM,CATEGORIA,VALOR,O GASTO FOI URGENTE?,FORMA DE PAGAMENTO,GANHO
1/1/2024 11:27:45,OUT,uber,TRANSPORTE,19.91,NÃO,PIX,47
1/1/2024 11:28:14,OUT,uber,TRANSPORTE,24.82,NÃO,PIX,
1/1/2024 11:28:40,OUT,lanche,BEM ESTAR,21,NÃO,DÉBITO,
1/1/2024 11:30:05,OUT,passagem,TRANSPORTE,6,FOI PARA MEU BEM ESTAR,DINHEIRO,
1/1/2024 11:30:31,OUT,lanche,COMIDA,12,NÃO,DÉBITO,
1/1/2024 11:32:55,NOV,spotify,BEM ESTAR,12,FOI PARA MEU BEM ESTAR,PIX,
1/1/2024 11:33:16,NOV,livros,,45,NÃO,PIX,
1/1/2024 11:33:44,NOV,xerox,FACULDADE,2.1,SIM,PIX,
1/1/2024 11:34:15,NOV,v,NECESSÁRIO,25,SIM,PIX,555
1/1/2024 11:34:40,NOV,roupas,NECESSÁRIO,150,SIM,DÉBITO,
1/1/2024 11:35:00,NOV,uber,TRANSPORTE,6,NÃO,PIX,
1/1/2024 11:35:30,NOV,emprestimo,NECESSÁRIO,50,SIM,PIX,50
1/1/2024 11:35:55,NOV,finis,COMIDA,21,NÃO,DÉBITO,
1/1/2024 11:36:23,NOV,uber,TRANSPORTE,27,NÃO,PIX,
1/1/2024 11:36:44,NOV,uber,TRANSPORTE,5,NÃO,PIX,
1/1/2024 11:37:09,NOV,pastel,COMIDA,5,NÃO,PIX,50
1/1/2024 11:37:37,NOV,créditos,NECESSÁRIO,40,SIM,PIX,
1/1/2024 11:38:16,NOV,pulsera,,10,NÃO,PIX,37
1/1/2024 11:38:37,NOV,agua,COMIDA,2,NÃO,DINHEIRO,
1/1/2024 11:39:20,NOV,xerox,,12,NÃO,PIX,
1/1/2024 11:40:50,NOV,passagens,TRANSPORTE,30,SIM,DÉBITO,
1/1/2024 11:41:13,NOV,sorvete,COMIDA,8,NÃO,DÉBITO,700
1/1/2024 11:41:36,NOV,roupa,NECESSÁRIO,31,SIM,DÉBITO,
1/1/2024 11:42:30,NOV,roupa,NECESSÁRIO,89,SIM,CRÉDITO,
1/1/2024 11:42:53,NOV,barco,,95.2,NÃO,CRÉDITO,
1/1/2024 11:43:44,NOV,anéis,NECESSÁRIO,20,NÃO,DÉBITO,
1/1/2024 11:44:04,NOV,quadros,,25,NÃO,DÉBITO,
